dataset,family,detector,auc,auc_ci_high
tgbl-wiki,external_public_features,linear,0.525496935,
tgbl-wiki,external_public_features,forest,0.540424565,
tgbl-wiki,external_public_features,mlp,0.5385722150000001,
tgbl-wiki,independent_neural_public_sequence,temporal_graph_eve,0.5010427343749999,
tgbl-wiki,independent_neural_public_sequence,sequence_transformer_eve,0.5135636484375,
tgbl-wiki,bounded_white_box_public_diagnostics,gradient_boosting,0.5296305,0.5368318674074298
tgbl-wiki,oracle_instrumentation_leakage,gradient_boosting,0.5371577421875,0.5398666898074296
mooc,external_public_features,linear,0.500692375,
mooc,external_public_features,forest,0.5006054550000001,
mooc,external_public_features,mlp,0.5006993,
mooc,independent_neural_public_sequence,temporal_graph_eve,0.5001866484374999,
mooc,independent_neural_public_sequence,sequence_transformer_eve,0.4998985156250001,
mooc,bounded_white_box_public_diagnostics,gradient_boosting,0.5008746171874998,0.5014405182851389
mooc,oracle_instrumentation_leakage,gradient_boosting,0.5008746171875,0.5014975782532284
lastfm,external_public_features,linear,0.500004645,
lastfm,external_public_features,forest,0.500099965,
lastfm,external_public_features,mlp,0.50000036,
lastfm,independent_neural_public_sequence,temporal_graph_eve,0.4999999921875001,
lastfm,independent_neural_public_sequence,sequence_transformer_eve,0.49999999999999994,
lastfm,bounded_white_box_public_diagnostics,gradient_boosting,0.5,0.5
lastfm,oracle_instrumentation_leakage,gradient_boosting,0.5,0.5
geolife_cells,external_public_features,linear,0.4999313900000001,
geolife_cells,external_public_features,forest,0.5000273,
geolife_cells,external_public_features,mlp,0.500007935,
geolife_cells,independent_neural_public_sequence,temporal_graph_eve,0.5,
geolife_cells,independent_neural_public_sequence,sequence_transformer_eve,0.49999999999999994,
geolife_cells,bounded_white_box_public_diagnostics,gradient_boosting,0.5,0.5
geolife_cells,oracle_instrumentation_leakage,gradient_boosting,0.5,0.5
t_drive_cells,external_public_features,linear,0.520677805,
t_drive_cells,external_public_features,forest,0.522823765,
t_drive_cells,external_public_features,mlp,0.521036575,
t_drive_cells,independent_neural_public_sequence,temporal_graph_eve,0.5003308359374999,
t_drive_cells,independent_neural_public_sequence,sequence_transformer_eve,0.50016834375,
t_drive_cells,bounded_white_box_public_diagnostics,gradient_boosting,0.520656234375,0.5288222812792426
t_drive_cells,oracle_instrumentation_leakage,gradient_boosting,0.532938875,0.5352618810192843
