dataset,split,feature,wasserstein,mean_natural,mean_stego,abs_mean_difference,permutation_p
geolife_cells,test,action_probability,4.5e-05,0.6608793302150417,0.6609243302150417,4.499999999996174e-05,0.99
geolife_cells,test,surprise_bits,0.0001788495894806288,3.5914403998100455,3.591261550220565,0.0001788495894805564,0.995
geolife_cells,test,rank_fraction,0.0001,0.5905302083333333,0.5904302083333333,9.999999999998899e-05,0.985
geolife_cells,test,is_top_action,0.0001,0.6884,0.6885,9.999999999998899e-05,1.0
geolife_cells,test,entropy_bits,0.0,1.2251070513347537,1.2251070513347537,0.0,1.0
geolife_cells,test,top_probability,0.0,0.7332407270330865,0.7332407270330865,0.0,1.0
geolife_cells,test,candidate_count,0.0,11.8337,11.8337,0.0,1.0
geolife_cells,test,unseen_context,0.0,0.3097,0.3097,0.0,1.0
geolife_cells,test,unseen_destination,0.0,0.3074,0.3074,0.0,1.0
geolife_cells,test,same_as_previous,0.0001,0.9905,0.9906,9.999999999998899e-05,1.0
geolife_cells,test,self_loop,0.0001,0.9952,0.9953,9.999999999998899e-05,1.0
geolife_cells,test,log_inter_event_gap,0.0,0.7566331128412651,0.7566331128412651,0.0,1.0
geolife_cells,validation,action_probability,1.88792343122203e-05,0.9264286714658727,0.9264475507001849,1.887923431220795e-05,0.995
geolife_cells,validation,surprise_bits,0.0004190001529629228,0.5091132107027677,0.5086942105498048,0.0004190001529629228,0.99
geolife_cells,validation,rank_fraction,1.875e-05,0.265346875,0.265328125,1.87499999999563e-05,0.995
geolife_cells,validation,is_top_action,0.0,0.9495,0.9495,0.0,1.0
geolife_cells,validation,entropy_bits,0.0,0.28573457946140823,0.28573457946140823,0.0,1.0
geolife_cells,validation,top_probability,0.0,0.9513921269077368,0.9513921269077368,0.0,1.0
geolife_cells,validation,candidate_count,0.0,5.358,5.358,0.0,1.0
geolife_cells,validation,unseen_context,0.0,0.0318,0.0318,0.0,1.0
geolife_cells,validation,unseen_destination,0.0,0.0307,0.0307,0.0,1.0
geolife_cells,validation,same_as_previous,0.0001,0.9759,0.9758,9.999999999998899e-05,1.0
geolife_cells,validation,self_loop,0.0,0.9793,0.9793,0.0,1.0
geolife_cells,validation,log_inter_event_gap,0.0,1.2477173892667444,1.2477173892667444,0.0,1.0
lastfm,test,action_probability,2.592592592592593e-05,0.012674630695878777,0.012700556621804703,2.592592592592577e-05,0.955
lastfm,test,surprise_bits,0.00014594316186372974,6.565711241965662,6.5655652988038,0.00014594316186222756,0.99
lastfm,test,rank_fraction,0.0001,1.0084143244753843,1.0083143244753843,9.999999999998899e-05,0.945
lastfm,test,is_top_action,0.0001,0.0037,0.0038,9.999999999999983e-05,1.0
lastfm,test,entropy_bits,0.0,4.896223390453198,4.896223390453198,0.0,1.0
lastfm,test,top_probability,0.0,0.06102639799975597,0.06102639799975597,0.0,1.0
lastfm,test,candidate_count,0.0,31.9134,31.9134,0.0,1.0
lastfm,test,unseen_context,0.0,0.9773,0.9773,0.0,1.0
lastfm,test,unseen_destination,0.0,0.4484,0.4484,0.0,1.0
lastfm,test,same_as_previous,0.0,0.1039,0.1039,0.0,1.0
lastfm,test,self_loop,0.0,0.0,0.0,0.0,1.0
lastfm,test,log_inter_event_gap,0.0,7.0105868357875964,7.0105868357875964,0.0,1.0
lastfm,validation,action_probability,4.232804232804233e-05,0.01185585521068084,0.011898183253008881,4.2328042328041576e-05,0.785
lastfm,validation,surprise_bits,0.00034594316186372975,6.57991710361439,6.579571160452526,0.0003459431618635378,0.97
lastfm,validation,rank_fraction,0.0001,1.0126539321402364,1.0125539321402364,9.999999999998899e-05,0.97
lastfm,validation,is_top_action,0.0001,0.0016,0.0017,9.999999999999983e-05,1.0
lastfm,validation,entropy_bits,0.0,4.899795644576546,4.899795644576546,0.0,1.0
lastfm,validation,top_probability,0.0,0.059081100698903426,0.059081100698903426,0.0,1.0
lastfm,validation,candidate_count,0.0,31.9408,31.9408,0.0,1.0
lastfm,validation,unseen_context,0.0,0.9858,0.9858,0.0,1.0
lastfm,validation,unseen_destination,0.0,0.4643,0.4643,0.0,1.0
lastfm,validation,same_as_previous,0.0,0.1151,0.1151,0.0,1.0
lastfm,validation,self_loop,0.0,0.0,0.0,0.0,1.0
lastfm,validation,log_inter_event_gap,0.0,6.873422544669456,6.873422544669456,0.0,1.0
mooc,test,action_probability,0.00021115859449192783,0.009595064034541736,0.009806222629033662,0.00021115859449192566,0.62
mooc,test,surprise_bits,0.0014977756926328166,12.949068148116067,12.947570372423437,0.001497775692630654,0.98
mooc,test,rank_fraction,0.0006616666666666666,0.9555820417899092,0.9549470417899094,0.0006349999999998301,0.89
mooc,test,is_top_action,0.0004,0.0104,0.0108,0.00040000000000000105,0.85
