dataset,point,detector,bits_per_transition,embed_rate,auc,balanced_accuracy,eer
tgbl-wiki,ultra_stealth,linear,0.0045,0.0045,0.504272865,0.50215,0.49785
tgbl-wiki,ultra_stealth,forest,0.0045,0.0045,0.504487485,0.50225,0.49775
tgbl-wiki,ultra_stealth,mlp,0.0045,0.0045,0.503800705,0.5022,0.49785
tgbl-wiki,conservative,linear,0.0501,0.0501,0.5236901700000001,0.513,0.48765000000000003
tgbl-wiki,conservative,forest,0.0501,0.0501,0.539597485,0.52045,0.47955000000000003
tgbl-wiki,conservative,mlp,0.0501,0.0501,0.5373540450000001,0.51965,0.48035
tgbl-wiki,balanced,linear,0.0924,0.0924,0.53289432,0.5164500000000001,0.48285
tgbl-wiki,balanced,forest,0.0924,0.0924,0.566940075,0.53505,0.46499999999999997
tgbl-wiki,balanced,mlp,0.0924,0.0924,0.5604379349999999,0.5318499999999999,0.4681
tgbl-wiki,open_rank,linear,0.1338,0.1338,0.5526784100000001,0.5298,0.47215
tgbl-wiki,open_rank,forest,0.1338,0.1338,0.59295472,0.54945,0.4506
tgbl-wiki,open_rank,mlp,0.1338,0.1338,0.592079395,0.54965,0.45035000000000003
tgbl-wiki,two_bit_probe,linear,0.2129,0.1505,0.562785165,0.5367999999999999,0.46699999999999997
tgbl-wiki,two_bit_probe,forest,0.2129,0.1505,0.60736831,0.5578,0.44205
tgbl-wiki,two_bit_probe,mlp,0.2129,0.1505,0.6060032049999999,0.55775,0.44245
mooc,ultra_stealth,linear,0.0,0.0,0.5,0.5,0.5
mooc,ultra_stealth,forest,0.0,0.0,0.5,0.5,0.5
mooc,ultra_stealth,mlp,0.0,0.0,0.499999965,0.5,0.5
mooc,conservative,linear,0.0011,0.0011,0.500907125,0.50045,0.49955
mooc,conservative,forest,0.0011,0.0011,0.5009990750000001,0.5005000000000001,0.49950000000000006
mooc,conservative,mlp,0.0011,0.0011,0.500994445,0.5005,0.4995
mooc,balanced,linear,0.0047,0.0047,0.5042837600000001,0.50215,0.49785
mooc,balanced,forest,0.0047,0.0047,0.504288185,0.50215,0.49785
mooc,balanced,mlp,0.0047,0.0047,0.502999275,0.5015000000000001,0.49849999999999994
mooc,open_rank,linear,0.0254,0.0254,0.5234125199999999,0.512,0.488
mooc,open_rank,forest,0.0254,0.0254,0.523066405,0.5118,0.4882
mooc,open_rank,mlp,0.0254,0.0254,0.523801315,0.5121,0.48785
mooc,two_bit_probe,linear,1.9941,0.9992,0.9829406100000001,0.9722500000000001,0.03394999999999998
mooc,two_bit_probe,forest,1.9941,0.9992,0.9900239299999999,0.97865,0.034900000000000014
mooc,two_bit_probe,mlp,1.9941,0.9992,0.9882513799999999,0.97865,0.03394999999999997
lastfm,ultra_stealth,linear,0.0,0.0,0.5,0.5,0.5
lastfm,ultra_stealth,forest,0.0,0.0,0.5,0.5,0.5
lastfm,ultra_stealth,mlp,0.0,0.0,0.49999999,0.5,0.5
lastfm,conservative,linear,0.0,0.0,0.5,0.5,0.5
lastfm,conservative,forest,0.0,0.0,0.5,0.5,0.5
lastfm,conservative,mlp,0.0,0.0,0.5000000099999999,0.5,0.5
lastfm,balanced,linear,0.0002,0.0002,0.5000076,0.5,0.5
lastfm,balanced,forest,0.0002,0.0002,0.50010886,0.50005,0.49995
lastfm,balanced,mlp,0.0002,0.0002,0.5001994900000001,0.5001,0.4999
lastfm,open_rank,linear,0.0038,0.0038,0.5033729,0.5017,0.49829999999999997
lastfm,open_rank,forest,0.0038,0.0038,0.5034890599999999,0.50175,0.49824999999999997
lastfm,open_rank,mlp,0.0038,0.0038,0.5034859549999999,0.50175,0.49824999999999997
lastfm,two_bit_probe,linear,0.0536,0.0277,0.522888115,0.5117,0.4883
lastfm,two_bit_probe,forest,0.0536,0.0277,0.5247583549999999,0.51255,0.48745
lastfm,two_bit_probe,mlp,0.0536,0.0277,0.5243187,0.5123500000000001,0.48765000000000003
geolife_cells,ultra_stealth,linear,0.0,0.0,0.5,0.5,0.5
geolife_cells,ultra_stealth,forest,0.0,0.0,0.5,0.5,0.5
geolife_cells,ultra_stealth,mlp,0.0,0.0,0.500000005,0.5,0.5
geolife_cells,conservative,linear,0.0005,0.0005,0.5,0.5,0.5
geolife_cells,conservative,forest,0.0005,0.0005,0.5,0.5,0.5
geolife_cells,conservative,mlp,0.0005,0.0005,0.500015175,0.5,0.5
geolife_cells,balanced,linear,0.0007,0.0007,0.50006862,0.50005,0.49995
geolife_cells,balanced,forest,0.0007,0.0007,0.4999999299999999,0.5,0.5
geolife_cells,balanced,mlp,0.0007,0.0007,0.50004675,0.5,0.5
geolife_cells,open_rank,linear,0.3086,0.3086,0.760220545,0.65375,0.34625000000000006
geolife_cells,open_rank,forest,0.3086,0.3086,0.759811315,0.6535,0.34655
geolife_cells,open_rank,mlp,0.3086,0.3086,0.7600857,0.6538999999999999,0.34645000000000004
geolife_cells,two_bit_probe,linear,0.6169,0.309,0.7602211449999999,0.65375,0.34624999999999995
geolife_cells,two_bit_probe,forest,0.6169,0.309,0.75946384,0.6532,0.3468
geolife_cells,two_bit_probe,mlp,0.6169,0.309,0.760152865,0.65385,0.34615
t_drive_cells,ultra_stealth,linear,0.0,0.0,0.5,0.5,0.5
t_drive_cells,ultra_stealth,forest,0.0,0.0,0.5,0.5,0.5
t_drive_cells,ultra_stealth,mlp,0.0,0.0,0.49998438,0.5,0.5
t_drive_cells,conservative,linear,0.0316,0.0316,0.5194580050000001,0.5108,0.48945
t_drive_cells,conservative,forest,0.0316,0.0316,0.522012975,0.5113,0.4887
t_drive_cells,conservative,mlp,0.0316,0.0316,0.521287305,0.51115,0.48884999999999995
t_drive_cells,balanced,linear,0.1106,0.1106,0.54934718,0.52815,0.47235
t_drive_cells,balanced,forest,0.1106,0.1106,0.56560611,0.53495,0.46505
t_drive_cells,balanced,mlp,0.1106,0.1106,0.558023915,0.5307999999999999,0.46925
t_drive_cells,open_rank,linear,0.268,0.268,0.612820235,0.56835,0.43465
t_drive_cells,open_rank,forest,0.268,0.268,0.64493639,0.58065,0.41935
t_drive_cells,open_rank,mlp,0.268,0.268,0.643227665,0.5801499999999999,0.4194
t_drive_cells,two_bit_probe,linear,0.5751,0.3388,0.64299983,0.5877,0.41455000000000003
t_drive_cells,two_bit_probe,forest,0.5751,0.3388,0.6792188349999999,0.60295,0.39705
t_drive_cells,two_bit_probe,mlp,0.5751,0.3388,0.677932015,0.60295,0.3966
