dataset,feature,pearson_with_label,spearman_with_label,natural_mean,stego_mean,absolute_mean_gap
tgbl-wiki,bits_consumed,0.1389354221878299,0.13893542218782992,0.0,0.037875,0.037875
tgbl-wiki,local_total_variation,0.13017025014723194,0.1389271764436939,0.0,0.008778417165617725,0.008778417165617725
tgbl-wiki,local_kl_bits,0.12058680734736246,0.1389271746183009,0.0,0.01329749425833011,0.01329749425833011
mooc,bits_consumed,0.02092107764975043,0.020921077649750427,0.0,0.000875,0.000875
mooc,local_total_variation,0.019717031913008814,0.020921077007360442,0.0,0.000179503367003367,0.000179503367003367
mooc,local_kl_bits,0.01877258041042697,0.02092107699568062,0.0,0.00029028598521239066,0.00029028598521239066
lastfm,bits_consumed,0.0,0.0,0.0,0.0,0.0
lastfm,local_total_variation,0.0,0.0,0.0,0.0,0.0
lastfm,local_kl_bits,0.0,0.0,0.0,0.0,0.0
geolife_cells,bits_consumed,0.0,0.0,0.0,0.0,0.0
geolife_cells,local_total_variation,0.0,0.0,0.0,0.0,0.0
geolife_cells,local_kl_bits,0.0,0.0,0.0,0.0,0.0
t_drive_cells,bits_consumed,0.13051950803666776,0.1305195080366676,0.0,0.0335,0.0335
t_drive_cells,local_total_variation,0.12268906540076639,0.13051344657076738,0.0,0.007996227527200422,0.007996227527200422
t_drive_cells,local_kl_bits,0.11535310513931929,0.1305134313247133,0.0,0.01293481875832431,0.01293481875832431
