dataset,split,rows,mean_nll_bits,perplexity,top1_accuracy,mean_entropy_bits,unseen_context_fraction,unseen_destination_fraction
tgbl-wiki,train,100000,0.5568024384182559,1.4710052936960722,0.87693,0.7080572212035099,0.0,0.0
tgbl-wiki,validation,23621,4.344454876650981,20.31473833190704,0.46035307565302064,1.8309309303560601,0.4060370009737098,0.19042377545404512
tgbl-wiki,test,23621,4.345018102245915,20.322670718152718,0.4308030989373862,1.9404647356690554,0.41738283730578724,0.16036577621607892
mooc,train,100000,2.3469711122258103,5.087550155499506,0.5426,3.261859793660062,0.0,0.0
mooc,validation,61762,10.232804575302525,1203.3199498538474,0.01397299310255497,4.054837573125223,0.9539684595706097,0.6104076940513584
mooc,test,61762,10.534243395476118,1482.9388523784457,0.011738609500987662,4.043676659375391,0.9597325216152327,0.6672711375926945
lastfm,train,100000,2.854771211185287,7.233887748338425,0.45094,3.704208200297996,0.0,0.0
lastfm,validation,100000,6.805898575462107,111.88699724152386,0.00731,4.741508759054565,0.91123,0.28918
lastfm,test,100000,6.836308565823558,114.27045007382479,0.00649,4.74212610387339,0.93619,0.44997
geolife_cells,train,99883,0.17418380126631347,1.1283258785169805,0.975321125717089,0.17669279221330253,0.0,0.0
geolife_cells,validation,99922,2.740184643608337,6.681558441276837,0.6807109545445448,1.2241993783595535,0.30578851504173254,0.30489782029983387
geolife_cells,test,99961,3.0313904691609173,8.175973210675371,0.6505036964416122,1.404150414234355,0.3480157261331919,0.3476355778753714
t_drive_cells,train,98166,1.6979149193077956,3.244317288109243,0.6354032964570218,1.9422781515268577,0.0,0.0
t_drive_cells,validation,98206,4.369989124837547,20.677489420873545,0.337627028898438,3.2464894486479765,0.43947416654786875,0.3123434413375965
t_drive_cells,test,97639,4.404601716701754,21.179574736303213,0.32327246284783745,3.29864730963026,0.4555044603078688,0.3283421583588525
