dataset,detector,auc,balanced_accuracy,eer
tgbl-wiki,linear,0.525496935,0.51505,0.486
tgbl-wiki,forest,0.540424565,0.5208,0.47909999999999997
tgbl-wiki,mlp,0.5385722150000001,0.52015,0.4799
mooc,linear,0.500692375,0.50035,0.49965000000000004
mooc,forest,0.5006054550000001,0.5003,0.4997
mooc,mlp,0.5006993,0.50035,0.4996499999999999
lastfm,linear,0.500004645,0.5,0.5
lastfm,forest,0.500099965,0.50005,0.49995
lastfm,mlp,0.50000036,0.5,0.5
geolife_cells,linear,0.4999313900000001,0.49995,0.50005
geolife_cells,forest,0.5000273,0.5,0.5
geolife_cells,mlp,0.500007935,0.5,0.5
t_drive_cells,linear,0.520677805,0.51145,0.4888
t_drive_cells,forest,0.522823765,0.5117499999999999,0.48825
t_drive_cells,mlp,0.521036575,0.5112,0.48900000000000005
