dataset,detector,auc,balanced_accuracy,eer
tgbl-wiki,temporal_graph_eve,0.5010427343749999,0.5000625000000001,0.500875
tgbl-wiki,sequence_transformer_eve,0.5135636484375,0.5069375,0.49250000000000005
mooc,temporal_graph_eve,0.5001866484374999,0.5001875,0.499875
mooc,sequence_transformer_eve,0.4998985156250001,0.4999375,0.5000625
lastfm,temporal_graph_eve,0.4999999921875001,0.5,0.5
lastfm,sequence_transformer_eve,0.49999999999999994,0.5,0.5
geolife_cells,temporal_graph_eve,0.5,0.5,0.5
geolife_cells,sequence_transformer_eve,0.49999999999999994,0.5,0.5
t_drive_cells,temporal_graph_eve,0.5003308359374999,0.4999375,0.4995625
t_drive_cells,sequence_transformer_eve,0.50016834375,0.5015000000000001,0.5015
