dataset,model,split,rows,mean_nll_bits,perplexity,top1_accuracy,unknown_target_fraction,expected_calibration_error,brier_score
tgbl-wiki,temporal_graph_encoder,train,20000,6.853684902191162,115.65508613545855,0.51265,0.0,0.4936722461819649,0.9670287370681763
tgbl-wiki,temporal_graph_encoder,validation,20000,9.440654754638672,694.896716950868,0.06695,0.4513,0.058544311781227584,0.9937050938606262
tgbl-wiki,temporal_graph_encoder,test,20000,9.425080299377441,687.435382521993,0.05935,0.4368,0.051244143633544445,0.9938297867774963
mooc,temporal_graph_encoder,train,20000,3.427004337310791,10.755512288488037,0.4714,0.0,0.35967910764329136,0.8148308992385864
mooc,temporal_graph_encoder,validation,20000,5.426978588104248,43.02128130370495,0.0482,0.82245,0.06271320351958275,0.9448429942131042
mooc,temporal_graph_encoder,test,20000,5.429461479187012,43.09538506235192,0.0497,0.8268,0.061397547779604794,0.9446539282798767
lastfm,temporal_graph_encoder,train,20000,8.99553108215332,510.4164735296304,0.0679,0.0,0.0647317982275039,0.9957554936408997
lastfm,temporal_graph_encoder,validation,20000,9.371986389160156,662.5963239231214,0.0062,0.4144,0.003737549119442701,0.9969433546066284
lastfm,temporal_graph_encoder,test,20000,9.37954330444336,666.0761453849867,0.00465,0.4735,0.0022134678266942497,0.9969660043716431
geolife_cells,temporal_graph_encoder,train,20000,0.2356632947921753,1.177447957343627,0.9757,0.0,0.024676960123330326,0.03153190389275551
geolife_cells,temporal_graph_encoder,validation,20000,0.3815156817436218,1.3027097512913266,0.956,0.0273,0.027058880623429968,0.04488963261246681
geolife_cells,temporal_graph_encoder,test,20000,1.740496277809143,3.3415009348499116,0.7955,0.2002,0.1658204244613648,0.23649196326732635
t_drive_cells,temporal_graph_encoder,train,20000,5.609950065612793,48.838604261587975,0.4566,0.0,0.23815309888217598,0.7148774266242981
t_drive_cells,temporal_graph_encoder,validation,20000,9.02463436126709,520.8175888599774,0.1499,0.45355,0.07915330912512729,0.916135847568512
t_drive_cells,temporal_graph_encoder,test,20000,9.070566177368164,537.6659045075255,0.14585,0.48005,0.07773695679847151,0.9175638556480408
